,property_ref,scraped_at,bedrooms,bathrooms,type,area,sub_area,has_bq,is_furnished,in_estate,security,serviced,luxury_features,price
0,3357999,2026-04-16 02:15:45.297008+00:00,1,1,studio,Surulere,Randle,False,False,False,False,False,0,1300000.0
1,2980378,2026-03-24 08:20:39.739372+00:00,3,4,terrace,Ikoyi,Alagbon,True,False,False,False,True,0,20000000.0
2,3383323,2026-04-16 01:18:07.598293+00:00,2,2,flat,Isheri North,Opic,False,False,False,True,False,0,3500000.0
3,3412428,2026-04-15 22:06:09.422985+00:00,2,2,flat,Lekki,Ikate,False,True,False,False,True,2,14000000.0
4,3391739,2026-03-24 08:20:39.770291+00:00,1,2,mini-flat,Ojota,Ogudu,False,False,True,True,False,0,3500000.0
5,3383320,2026-04-16 01:18:07.601310+00:00,3,3,flat,Magodo,Gra Phase 1,False,False,True,True,False,0,4500000.0
6,3412412,2026-04-15 22:06:09.428817+00:00,4,4,duplex,Lekki,Ikate,False,False,False,False,False,0,12000000.0
7,3436387,2026-04-16 00:15:41.271505+00:00,1,1,mini-flat,Ibeju Lekki,Awoyaya,False,False,False,False,False,0,1600000.0
8,3402652,2026-04-16 00:59:39.619089+00:00,5,5,duplex,Lekki,Osapa,True,False,True,True,False,2,30000000.0
9,3372484,2026-04-16 01:23:56.999988+00:00,4,4,Maisonette,Lekki,Lekki Phase 1,False,False,True,True,False,0,30000000.0
10,3402645,2026-03-24 08:20:39.805821+00:00,1,1,studio,Ajah,Sangotedo,False,False,False,False,True,0,750000.0
11,3402641,2026-03-24 08:20:39.828480+00:00,4,4,duplex,Lekki,Lekki Phase 1,True,False,True,True,True,0,25000000.0
12,3377699,2026-04-16 01:21:14.383490+00:00,2,2,flat,Ibeju Lekki,Lakowe,False,False,False,False,False,0,2000000.0
13,3357986,2026-04-16 02:15:45.299524+00:00,3,3,flat,Ikoyi,Ikoyi,False,False,False,False,True,0,50000000.0
14,3402624,2026-03-24 08:20:53.019147+00:00,3,3,terrace,Ikeja,Allen,True,False,False,False,False,0,12000000.0
15,3402620,2026-03-24 08:20:53.024080+00:00,1,1,flat,Ajah,Sangotedo,False,False,True,True,True,0,1500000.0
16,3372328,2026-04-16 01:24:09.390022+00:00,5,5,terrace,Ikeja,Ikeja,True,False,False,False,False,0,30000000.0
17,3389201,2026-04-15 22:50:28.717181+00:00,5,5,duplex,Lekki,Lekki Phase 1,True,False,True,True,False,0,40000000.0
18,3424751,2026-04-10 14:36:14.249171+00:00,2,2,flat,Lekki,Ikate,False,False,False,True,True,3,10000000.0
19,3402610,2026-03-24 08:20:53.032108+00:00,4,5,terrace,Lekki,Ikate,True,False,True,True,True,1,25000000.0
20,3402606,2026-03-24 08:20:53.041419+00:00,2,3,flat,Lekki,Lekki Phase 1,False,True,True,True,True,0,14000000.0
21,3433028,2026-04-16 00:25:39.839909+00:00,1,1,flat,Victoria Island (VI),Victoria Island,False,False,False,False,False,1,15000000.0
22,3412379,2026-04-15 22:06:09.442428+00:00,4,4,duplex,Lekki,Ikate,False,False,False,False,False,0,17000000.0
23,3433612,2026-04-15 20:46:47.351092+00:00,1,1,mini-flat,Ajah,Sangotedo,False,False,True,True,False,0,2300000.0
24,3402589,2026-04-10 15:52:32.694958+00:00,1,1,flat,Lekki,Ikota,False,False,False,False,True,0,1700000.0
25,3412370,2026-04-15 22:06:09.447214+00:00,2,2,flat,Lekki,Ikate,False,True,False,True,True,0,10000000.0
26,3383311,2026-04-16 01:18:07.604334+00:00,4,4,duplex,Lekki,Orchid,False,False,True,True,True,0,10000000.0
27,3405894,2026-04-15 22:06:09.456516+00:00,2,2,flat,Lekki,Lekki Phase 1,False,False,True,True,False,0,17000000.0
28,3402594,2026-04-16 00:59:54.057855+00:00,1,1,duplex,Lekki,Lekki Phase 2,False,False,True,True,True,0,1500000.0
29,3402591,2026-04-16 00:59:54.059744+00:00,1,1,duplex,Lekki,Lekki Phase 2,False,False,True,True,True,0,1900000.0
30,3383299,2026-04-16 01:18:07.607326+00:00,3,3,flat,Ikoyi,Ikoyi,False,False,False,False,False,0,28000000.0
