price,location,property_type,bedrooms,bathrooms,size_sqft,age
1080634489,Surulere,Apartment,3,2,3592,6
1320639911,Lekki,Apartment,3,3,2635,3
1453627069,Lekki,Duplex,5,4,2891,11
1271196025,Victoria Island,Duplex,4,4,1684,11
249495231,Yaba,Duplex,1,1,974,9
539128388,Surulere,Duplex,3,2,1767,2
1361863139,Lekki,Apartment,5,5,2714,17
2667245683,Ikoyi,Duplex,2,1,3324,1
1203196942,Surulere,Apartment,4,4,3999,7
1047155555,Lekki,Duplex,1,0,2085,7
1505187065,Victoria Island,Duplex,2,1,2000,17
454447262,Surulere,Duplex,2,1,1495,13
255930708,Surulere,Apartment,5,4,837,14
661635160,Victoria Island,Apartment,4,3,879,12
774533643,Yaba,Apartment,5,5,3068,0
1100875040,Lekki,Apartment,1,0,2198,2
1785753339,Lekki,Apartment,2,2,3565,8
2891711062,Ikoyi,Duplex,4,3,3604,15
823648816,Yaba,Apartment,4,3,3273,2
766612422,Lekki,Apartment,3,3,1528,13
1719950770,Lekki,Apartment,2,1,3439,12
1948754454,Ikoyi,Duplex,5,4,2423,4
393320495,Yaba,Apartment,3,3,1559,12
1618657213,Lekki,Apartment,4,3,3229,12
1717823091,Ikoyi,Apartment,4,3,2143,11
1966784413,Lekki,Duplex,2,2,3919,6
2539827948,Ikoyi,Apartment,1,1,3180,19
655528576,Ikoyi,Apartment,3,3,817,4
1258115603,Lekki,Duplex,4,3,2498,8
855660605,Ikoyi,Duplex,1,0,1063,11
2621320746,Victoria Island,Apartment,1,1,3499,16
1677380415,Ikoyi,Duplex,2,1,2089,4
1324422809,Ikoyi,Apartment,3,2,1653,11
188308926,Surulere,Apartment,3,2,622,16
885860078,Yaba,Duplex,2,1,3529,10
3121761436,Ikoyi,Apartment,4,4,3897,15
1233810681,Lekki,Duplex,4,4,2455,18
1708611987,Lekki,Apartment,3,2,3411,6
911556731,Ikoyi,Apartment,2,1,1140,10
1550154594,Ikoyi,Apartment,2,2,1938,9
458019163,Surulere,Duplex,2,1,1516,19
2245504516,Ikoyi,Duplex,1,0,2801,11
647377154,Yaba,Duplex,3,3,2556,8
1358347191,Lekki,Duplex,3,2,2699,0
581084423,Surulere,Apartment,1,0,1943,5
923833272,Surulere,Duplex,3,2,3057,2
849901503,Yaba,Duplex,2,1,3369,2
532883837,Yaba,Apartment,4,4,2103,0
614386582,Yaba,Duplex,4,3,2419,7
477435893,Lekki,Apartment,1,0,959,18
186893963,Yaba,Apartment,3,3,725,0
1055471491,Ikoyi,Apartment,4,4,1315,18
259924123,Lekki,Duplex,1,0,516,11
673865988,Yaba,Duplex,5,4,2646,8
923648307,Yaba,Apartment,5,5,3670,0
969789944,Yaba,Apartment,1,0,3894,17
1796783783,Victoria Island,Apartment,2,2,2395,13
496503649,Victoria Island,Duplex,2,2,654,9
555617654,Victoria Island,Apartment,1,1,745,15
591167115,Yaba,Duplex,2,2,2341,12
885561664,Victoria Island,Apartment,1,0,1184,19
403039576,Surulere,Apartment,4,3,1333,18
2148575715,Victoria Island,Apartment,5,4,2861,16
2380094791,Victoria Island,Duplex,3,2,3160,0
134960099,Yaba,Duplex,4,3,504,6
147654390,Yaba,Duplex,4,3,546,2
351667197,Surulere,Duplex,5,4,1135,9
794877945,Lekki,Apartment,3,2,1581,4
383901625,Yaba,Duplex,1,0,1512,0
1229318632,Victoria Island,Apartment,2,1,1641,15
429499391,Yaba,Apartment,1,0,1712,6
921154050,Yaba,Duplex,5,5,3647,15
441198014,Yaba,Duplex,1,1,1743,4
1388364121,Ikoyi,Duplex,4,4,1727,15
1615214445,Victoria Island,Duplex,5,5,2135,0
571591249,Yaba,Apartment,2,1,2281,4
898552695,Surulere,Apartment,2,1,2989,0
838762054,Yaba,Apartment,4,3,3339,15
2031147719,Victoria Island,Apartment,4,3,2707,19
630223100,Surulere,Duplex,3,2,2068,0
973931593,Lekki,Apartment,5,4,1940,7
